
 ** MIDAS/Civil Beam Element Time-history Output Data ** 
___________________________________________________________


 单元=     2 梁单元     内力 时程 (局部)      单位体系 ..: m, N
--------------------------------------------- 

  TIME        AXIAL       SHEAR-y      SHEAR-z      TORSION      MOMENT-y     MOMENT-z 
  2.420 I  -0.000e+000   0.000e+000  -4.037e+002  -0.000e+000  -4.667e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.037e+002   0.000e+000   7.444e+002   0.000e+000
  2.440 I  -0.000e+000   0.000e+000  -3.653e+002  -0.000e+000  -4.075e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.653e+002   0.000e+000   6.884e+002   0.000e+000
  2.460 I  -0.000e+000   0.000e+000  -3.328e+002  -0.000e+000  -3.605e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.328e+002   0.000e+000   6.380e+002   0.000e+000
  2.480 I  -0.000e+000   0.000e+000  -3.041e+002  -0.000e+000  -3.213e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.041e+002   0.000e+000   5.910e+002   0.000e+000
  2.500 I  -0.000e+000   0.000e+000  -2.770e+002  -0.000e+000  -2.859e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.770e+002   0.000e+000   5.452e+002   0.000e+000
  2.520 I  -0.000e+000   0.000e+000  -2.494e+002  -0.000e+000  -2.500e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.494e+002   0.000e+000   4.983e+002   0.000e+000
  2.540 I  -0.000e+000   0.000e+000  -2.204e+002  -0.000e+000  -2.116e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.204e+002   0.000e+000   4.494e+002   0.000e+000
  2.560 I  -0.000e+000   0.000e+000  -1.910e+002  -0.000e+000  -1.731e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.910e+002   0.000e+000   3.999e+002   0.000e+000
  2.580 I  -0.000e+000   0.000e+000  -1.636e+002  -0.000e+000  -1.388e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.636e+002   0.000e+000   3.521e+002   0.000e+000
  2.600 I  -0.000e+000   0.000e+000  -1.406e+002  -0.000e+000  -1.131e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.406e+002   0.000e+000   3.087e+002   0.000e+000
  2.620 I  -0.000e+000   0.000e+000  -1.234e+002  -0.000e+000  -9.898e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.234e+002   0.000e+000   2.711e+002   0.000e+000
  2.640 I  -0.000e+000   0.000e+000  -1.121e+002  -0.000e+000  -9.660e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.121e+002   0.000e+000   2.396e+002   0.000e+000
  2.660 I  -0.000e+000   0.000e+000  -1.060e+002  -0.000e+000  -1.045e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.060e+002   0.000e+000   2.135e+002   0.000e+000
  2.680 I  -0.000e+000   0.000e+000  -1.041e+002  -0.000e+000  -1.206e+002  -0.000e+000
